"Województwa/lata","Wmiastach","","Nawsi","","Współczynnikurbanizacji",""
"","2010","2021","2010","2021","2010","2021"
"Polska","23416505","22751998","15113361","15328413","60,77","59,75"
"Dolnośląskie","2040412","1961026","876830","919406","69,94","68,08"
"Kujawsko-pomorskie","1271357","1194020","827354","853880","60,58","58,3"
"Lubelskie","1013036","963657","1165575","1112725","46,50","46,41"
"Lubuskie","649781","644626","373434","354579","63,50","64,51"
"Łódzkie","1622813","1499697","919623","917205","63,83","62,05"
"Małopolskie","1640255","1634837","1696444","1772890","49,16","47,97"
"Mazowieckie","3380942","3493134","1886130","1926587","64,19","64,45"
"Opolskie","532927","513623","484314","455787","52,39","52,98"
"Podkarpackie","878587","874017","1249361","1236677","41,29","41,41"
"Podlaskie","722374","708836","481074","456426","60,03","60,83"
"Pomorskie","1499210","1476237","776284","870745","65,89","62,9"
"Śląskie","3607496","3399498","1027439","1056379","77,83","76,29"
"Świętokrzyskie","578955","549432","703591","663132","45,14","45,31"
"Warmińsko-mazurskie","864661","828321","589121","577038","59,48","58,94"
"Wielkopolskie","1927523","1869152","1519222","1619922","55,92","53,57"
"Zachodniopomorskie","1186176","1141885","537565","535035","68,81","68,09"
